ENSG00000000419	DPM1	H. sapiens	S000006148	ALG5	S. cerevisiae	least diverged horizontal gene transfer
ENSG00000000419	DPM1	H. sapiens	S000006387	DPM1	S. cerevisiae	homologue
ENSG00000000419	DPM1	H. sapiens	S000006387	DPM1	S. cerevisiae	least diverged orthologue
ENSG00000000457	SCYL3	H. sapiens	S000005638	CEX1	S. cerevisiae	homologue
ENSG00000000457	SCYL3	H. sapiens	S000005638	CEX1	S. cerevisiae	orthologue
ENSG00000000457	SCYL3	H. sapiens	S000005638	CEX1	S. cerevisiae	orthologue
ENSG00000001084	GCLC	H. sapiens	S000003637	GSH1	S. cerevisiae	homologue
ENSG00000001084	GCLC	H. sapiens	S000003637	GSH1	S. cerevisiae	least diverged orthologue
ENSG00000001084	GCLC	H. sapiens	S000003637	GSH1	S. cerevisiae	orthologue
ENSG00000001084	GCLC	H. sapiens	S000003637	GSH1	S. cerevisiae	orthologue
ENSG00000001497	LAS1L	H. sapiens	S000001771	LAS1	S. cerevisiae	least diverged orthologue
ENSG00000001561	ENPP4	H. sapiens	S000000621	NPP1	S. cerevisiae	homologue
ENSG00000001561	ENPP4	H. sapiens	S000000621	NPP1	S. cerevisiae	orthologue
ENSG00000001561	ENPP4	H. sapiens	S000000621	NPP1	S. cerevisiae	orthologue
ENSG00000001561	ENPP4	H. sapiens	S000000742	NPP2	S. cerevisiae	homologue
ENSG00000001561	ENPP4	H. sapiens	S000000742	NPP2	S. cerevisiae	orthologue
ENSG00000001561	ENPP4	H. sapiens	S000000742	NPP2	S. cerevisiae	orthologue
ENSG00000001626	CFTR	H. sapiens	S000001027	VMR1	S. cerevisiae	horizontal gene transfer
ENSG00000001626	CFTR	H. sapiens	S000001692	STE6	S. cerevisiae	horizontal gene transfer
ENSG00000001626	CFTR	H. sapiens	S000002542	YCF1	S. cerevisiae	homologue
ENSG00000001626	CFTR	H. sapiens	S000002542	YCF1	S. cerevisiae	horizontal gene transfer
ENSG00000001626	CFTR	H. sapiens	S000003513	YOR1	S. cerevisiae	horizontal gene transfer
ENSG00000001626	CFTR	H. sapiens	S000003938	BPT1	S. cerevisiae	horizontal gene transfer
ENSG00000001626	CFTR	H. sapiens	S000003971	YBT1	S. cerevisiae	horizontal gene transfer
ENSG00000001629	ANKIB1	H. sapiens	S000001725	HEL1	S. cerevisiae	homologue
